+--------------------------+-------------------------+
|   Transmitancia Rayleigh |   longitud de onda (μm) |
|--------------------------+-------------------------|
|                 0.274284 |                   0.3   |
|                 0.299589 |                   0.305 |
|                 0.324795 |                   0.31  |
|                 0.349766 |                   0.315 |
|                 0.374385 |                   0.32  |
|                 0.398553 |                   0.325 |
|                 0.42219  |                   0.33  |
|                 0.44523  |                   0.335 |
|                 0.467624 |                   0.34  |
|                 0.489333 |                   0.345 |
|                 0.51033  |                   0.35  |
|                 0.530598 |                   0.355 |
|                 0.780757 |                   0.445 |
|                 0.789507 |                   0.45  |
|                 0.797858 |                   0.455 |
|                 0.805827 |                   0.46  |
|                 0.813432 |                   0.465 |
|                 0.820693 |                   0.47  |
|                 0.827624 |                   0.475 |
|                 0.834242 |                   0.48  |
|                 0.840562 |                   0.485 |
|                 0.846599 |                   0.49  |
|                 0.852367 |                   0.495 |
|                 0.857878 |                   0.5   |
|                 0.863146 |                   0.505 |
|                 0.868181 |                   0.51  |
|                 0.872997 |                   0.515 |
|                 0.877602 |                   0.52  |
|                 0.882009 |                   0.525 |
|                 0.886225 |                   0.53  |
|                 0.890261 |                   0.535 |
|                 0.894125 |                   0.54  |
|                 0.897826 |                   0.545 |
|                 0.901371 |                   0.55  |
|                 0.904767 |                   0.555 |
|                 0.908023 |                   0.56  |
|                 0.911144 |                   0.565 |
|                 0.914137 |                   0.57  |
|                 0.917008 |                   0.575 |
|                 0.919763 |                   0.58  |
|                 0.922406 |                   0.585 |
|                 0.924944 |                   0.59  |
|                 0.927381 |                   0.595 |
|                 0.929722 |                   0.6   |
|                 0.931971 |                   0.605 |
|                 0.934132 |                   0.61  |
|                 0.938208 |                   0.62  |
|                 0.941978 |                   0.63  |
|                 0.945468 |                   0.64  |
|                 0.948704 |                   0.65  |
|                 0.951706 |                   0.66  |
|                 0.954494 |                   0.67  |
|                 0.957086 |                   0.68  |
|                 0.959498 |                   0.69  |
|                 0.961745 |                   0.7   |
|                 0.963839 |                   0.71  |
|                 0.965794 |                   0.72  |
|                 0.967619 |                   0.73  |
|                 0.969325 |                   0.74  |
|                 0.970921 |                   0.75  |
|                 0.972415 |                   0.76  |
|                 0.973816 |                   0.77  |
|                 0.975129 |                   0.78  |
|                 0.976361 |                   0.79  |
|                 0.977519 |                   0.8   |
|                 0.978607 |                   0.81  |
|                 0.979631 |                   0.82  |
|                 0.980594 |                   0.83  |
|                 0.981501 |                   0.84  |
|                 0.982357 |                   0.85  |
|                 0.983164 |                   0.86  |
|                 0.983925 |                   0.87  |
|                 0.984644 |                   0.88  |
|                 0.985324 |                   0.89  |
|                 0.985967 |                   0.9   |
|                 0.986575 |                   0.91  |
|                 0.987151 |                   0.92  |
|                 0.987696 |                   0.93  |
|                 0.988213 |                   0.94  |
|                 0.988703 |                   0.95  |
|                 0.989168 |                   0.96  |
|                 0.98961  |                   0.97  |
|                 0.990029 |                   0.98  |
|                 0.990428 |                   0.99  |
|                 0.990807 |                   1     |
|                 0.992446 |                   1.05  |
|                 0.993738 |                   1.1   |
|                 0.994766 |                   1.15  |
|                 0.995594 |                   1.2   |
|                 0.996265 |                   1.25  |
|                 0.996814 |                   1.3   |
|                 0.997267 |                   1.35  |
|                 0.997643 |                   1.4   |
|                 0.997957 |                   1.45  |
|                 0.998221 |                   1.5   |
|                 0.998445 |                   1.55  |
|                 0.998635 |                   1.6   |
|                 0.998797 |                   1.65  |
|                 0.998936 |                   1.7   |
|                 0.999056 |                   1.75  |
|                 0.99916  |                   1.8   |
|                 0.99925  |                   1.85  |
|                 0.999328 |                   1.9   |
|                 0.999397 |                   1.95  |
|                 0.999457 |                   2     |
|                 0.999558 |                   2.1   |
|                 0.999636 |                   2.2   |
|                 0.999698 |                   2.3   |
|                 0.999748 |                   2.4   |
|                 0.999788 |                   2.5   |
+--------------------------+-------------------------+
