+-------------------------------------------+-------------------------+
|   Transmitancia de dispersión Atmosférica |   longitud de onda (μm) |
|-------------------------------------------+-------------------------|
|                                 0.0853096 |                   0.3   |
|                                 0.0953964 |                   0.305 |
|                                 0.1058    |                   0.31  |
|                                 0.116467  |                   0.315 |
|                                 0.127345  |                   0.32  |
|                                 0.138385  |                   0.325 |
|                                 0.149543  |                   0.33  |
|                                 0.160778  |                   0.335 |
|                                 0.172051  |                   0.34  |
|                                 0.183331  |                   0.345 |
|                                 0.194587  |                   0.35  |
|                                 0.205791  |                   0.355 |
|                                 0.383491  |                   0.445 |
|                                 0.391721  |                   0.45  |
|                                 0.399778  |                   0.455 |
|                                 0.407667  |                   0.46  |
|                                 0.415389  |                   0.465 |
|                                 0.422949  |                   0.47  |
|                                 0.430348  |                   0.475 |
|                                 0.43759   |                   0.48  |
|                                 0.444679  |                   0.485 |
|                                 0.451618  |                   0.49  |
|                                 0.458411  |                   0.495 |
|                                 0.46506   |                   0.5   |
|                                 0.47157   |                   0.505 |
|                                 0.477944  |                   0.51  |
|                                 0.484184  |                   0.515 |
|                                 0.490295  |                   0.52  |
|                                 0.49628   |                   0.525 |
|                                 0.502141  |                   0.53  |
|                                 0.507883  |                   0.535 |
|                                 0.513507  |                   0.54  |
|                                 0.519018  |                   0.545 |
|                                 0.524418  |                   0.55  |
|                                 0.52971   |                   0.555 |
|                                 0.534897  |                   0.56  |
|                                 0.539982  |                   0.565 |
|                                 0.544967  |                   0.57  |
|                                 0.549855  |                   0.575 |
|                                 0.554648  |                   0.58  |
|                                 0.55935   |                   0.585 |
|                                 0.563961  |                   0.59  |
|                                 0.568486  |                   0.595 |
|                                 0.572925  |                   0.6   |
|                                 0.577282  |                   0.605 |
|                                 0.581558  |                   0.61  |
|                                 0.589877  |                   0.62  |
|                                 0.597896  |                   0.63  |
|                                 0.605633  |                   0.64  |
|                                 0.6131    |                   0.65  |
|                                 0.620311  |                   0.66  |
|                                 0.627278  |                   0.67  |
|                                 0.634013  |                   0.68  |
|                                 0.640528  |                   0.69  |
|                                 0.646832  |                   0.7   |
|                                 0.652935  |                   0.71  |
|                                 0.658846  |                   0.72  |
|                                 0.664575  |                   0.73  |
|                                 0.670129  |                   0.74  |
|                                 0.675516  |                   0.75  |
|                                 0.680743  |                   0.76  |
|                                 0.685818  |                   0.77  |
|                                 0.690746  |                   0.78  |
|                                 0.695534  |                   0.79  |
|                                 0.700188  |                   0.8   |
|                                 0.704712  |                   0.81  |
|                                 0.709113  |                   0.82  |
|                                 0.713396  |                   0.83  |
|                                 0.717564  |                   0.84  |
|                                 0.721623  |                   0.85  |
|                                 0.725576  |                   0.86  |
|                                 0.729428  |                   0.87  |
|                                 0.733183  |                   0.88  |
|                                 0.736843  |                   0.89  |
|                                 0.740413  |                   0.9   |
|                                 0.743895  |                   0.91  |
|                                 0.747294  |                   0.92  |
|                                 0.750611  |                   0.93  |
|                                 0.75385   |                   0.94  |
|                                 0.757013  |                   0.95  |
|                                 0.760103  |                   0.96  |
|                                 0.763122  |                   0.97  |
|                                 0.766074  |                   0.98  |
|                                 0.768959  |                   0.99  |
|                                 0.77178   |                   1     |
|                                 0.784999  |                   1.05  |
|                                 0.796897  |                   1.1   |
|                                 0.807659  |                   1.15  |
|                                 0.817438  |                   1.2   |
|                                 0.826359  |                   1.25  |
|                                 0.834529  |                   1.3   |
|                                 0.842036  |                   1.35  |
|                                 0.848956  |                   1.4   |
|                                 0.855353  |                   1.45  |
|                                 0.861284  |                   1.5   |
|                                 0.866794  |                   1.55  |
|                                 0.871927  |                   1.6   |
|                                 0.876719  |                   1.65  |
|                                 0.881202  |                   1.7   |
|                                 0.885403  |                   1.75  |
|                                 0.889347  |                   1.8   |
|                                 0.893057  |                   1.85  |
|                                 0.896552  |                   1.9   |
|                                 0.89985   |                   1.95  |
|                                 0.902966  |                   2     |
|                                 0.908707  |                   2.1   |
|                                 0.913874  |                   2.2   |
|                                 0.918544  |                   2.3   |
|                                 0.922785  |                   2.4   |
|                                 0.92665   |                   2.5   |
+-------------------------------------------+-------------------------+
